*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=15:57:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
273;;;12.7041;-17.9554;0;Bottom;Via1
274;;;96.4565;-7.0104;0;Bottom;Copper Fill54
275;100;0603 [SMD];59.6941;-14.5495;-90;Top;R43
276;;;19.4818;-29.4513;0;Bottom;Copper Fill88
277;;;14.7066;-12.9413;0;Bottom;Copper Fill199
278;;;2.6162;-45.9613;0;Bottom;Copper Fill60
279;;;40.5765;-3.6322;0;Bottom;Copper Fill146
280;;;29.2354;-1.7018;0;Bottom;Copper Fill30
281;;;59.6941;-21.7654;0;Bottom;Via19
282;;;82.5754;-1.7018;0;Bottom;Copper Fill141
283;;;62.611;-21.8313;0;Bottom;Copper Fill174
284;;THT;33.0241;-43.3554;0;Bottom;J20
285;0.01µF;0603 [SMD, multilayer];27.9441;-18.8054;-90;Top;C48
286;;msop8;75.9141;-25.2045;90;Top;U10
287;;;95.25;-49.7078;0;Bottom;Copper Fill91
288;;;49.4665;-12.446;0;Bottom;Copper Fill204
289;;;84.2264;-49.0728;0;Bottom;Copper Fill90
290;;;33.4518;-12.9413;0;Bottom;Copper Fill203
291;;;66.7512;-12.9413;0;Bottom;Copper Fill82
292;;;37.7952;-24.9301;0;Bottom;Copper Fill186
293;;;44.4541;-26.8454;0;Bottom;Via9
294;;;64.7741;-16.6854;0;Bottom;Via11
295;;THT;50.197;-45.1334;-90;Bottom;J14
296;;;90.1954;-1.7018;0;Bottom;Copper Fill144
297;;;96.4565;-7.0104;0;Bottom;Copper Fill148
298;;;89.7382;-28.1305;0;Bottom;Copper Fill179
299;;THT;40.6441;-43.3554;0;Bottom;J18
300;;;95.25;-29.3878;0;Bottom;Copper Fill17
301;1µF;0603 [SMD, multilayer];5.08409;-18.8178;90;Top;C20
302;;;95.25;-11.6078;0;Bottom;Copper Fill25
303;;msop8;23.8441;-25.2504;90;Top;U7
304;;;35.4965;-23.5966;0;Bottom;Copper Fill72
305;;;52.8828;-24.8158;0;Bottom;Via31
306;100;0603 [SMD];5.08395;-14.9954;-90;Top;R29
307;;;87.9348;-35.1409;0;Bottom;Copper Fill180
308;;;33.4264;-15.4813;0;Bottom;Copper Fill193
309;0.01µF;0603 [SMD, multilayer];25.4041;-18.8011;90;Top;C50
310;;;26.3525;-51.8668;0;Bottom;Copper Fill57
311;;;95.25;-49.7078;0;Bottom;Copper Fill5
312;;;40.5765;-1.9304;0;Bottom;Copper Fill53
313;;;44.2722;-19.6977;0;Bottom;Copper Fill161
314;;;20.3241;-17.9554;0;Bottom;Via4
315;;;81.1784;-24.3586;0;Bottom;Copper Fill111
